 API  Gas_Grav  T_degF    Rsb     pb
38.50	0.734	229.0	1148.0	4140.0
38.40	0.754	229.0	1220.0	4230.0
28.90	0.752	201.0	372.0	1895.0
46.10	0.732	110.0	1025.0	2599.0
45.70	0.688	105.0	1099.0	3204.0
46.50	0.784	111.0	1527.0	3145.0
42.60	0.824	149.0	523.0	1442.0
45.80	0.786	180.0	494.0	1602.0
44.30	0.829	140.0	870.0	2140.0
44.30	0.736	134.0	730.0	2275.0
28.50	0.820	240.0	260.0	1370.0
39.20	0.864	238.0	390.0	1488.0
42.50	0.853	254.0	748.0	2313.0
52.30	0.767	118.0	964.0	2101.0
42.50	0.810	151.0	1164.0	2825.0
39.10	0.773	259.0	551.0	2270.0
34.60	0.627	130.0	243.0	1555.0
43.10	0.769	180.0	476.0	1629.0
31.50	0.807	210.0	206.0	975.0
45.30	0.826	148.0	849.0	2136.0
45.20	0.848	148.0	806.0	1883.0
37.20	0.885	237.0	599.0	2106.0
33.00	0.897	215.0	293.0	1039.0
33.00	0.897	100.0	293.0	754.0
45.70	0.773	152.0	654.0	2213.0
32.30	0.747	159.0	680.0	3572.0
40.10	0.730	120.0	1318.0	3519.0
39.10	0.907	250.0	542.0	1721.0
34.70	0.865	208.0	310.0	1447.0
40.50	0.779	141.0	367.0	1237.0
44.80	0.844	127.0	907.0	1930.0
43.70	0.792	177.0	1086.0	2858.0
26.00	0.676	206.0	341.0	2200.0
32.60	0.695	161.0	143.0	880.0
38.40	0.893	80.0	374.0	763.0
38.40	0.893	150.0	374.0	969.0
38.40	0.893	250.0	374.0	1252.0
39.40	0.916	250.0	577.0	1748.0
39.40	0.916	150.0	577.0	1376.0
39.40	0.916	80.0	577.0	1094.0
45.20	0.788	153.0	700.0	2467.0
18.90	0.719	164.0	107.0	760.0
25.10	0.739	163.0	264.0	1399.0
24.10	0.741	165.0	263.0	1469.0
47.10	0.779	274.0	702.0	2455.0
37.10	0.726	108.0	820.0	2580.0
41.80	0.629	232.0	598.0	3282.0
40.80	0.858	255.0	779.0	2628.0
23.30	0.720	155.0	510.0	2952.0
35.90	0.653	89.0	102.0	420.0
40.20	0.735	108.0	674.0	2071.0
43.80	0.785	124.0	349.0	1105.0
