,Actual_Rgo,Calculated_Rgo,Actual_Bo,Calculated_Bg,Actual_Bg,Calculated_Bw,Actual_Bw,Calculated_Bo,Actual_vo,Calculated_vo,Actual_vg,Calculated_vg,Actual_vw,Calculated_vw,pressure
0,0.001852469,7.971940057335587,1.094204366,0.038067590356603925,0.031254916,1.0794701665526045,1.028056979,1.179331143402015,2839.050747,0.7184010553523086,0.012273614,0.015264928308877128,0.387194538,0.2087128004224904,100.0
1,0.012776372,11.317667902581709,1.094209592,0.028291308016970444,0.0231698,1.079432727518708,1.028030575,1.180964941678095,1234.182731,0.7086540836401932,0.012309327,0.015284496580818098,0.387738163,0.2090058351172841,134.3434343
2,0.048656415,14.828919234080368,1.094226759,0.022496305416057634,0.01837716,1.079394582574005,1.028003555,1.1826795689991536,619.3120482,0.6988742396740154,0.012348214,0.015306015200687088,0.388284615,0.20930039385036175,168.6868687
3,0.132781122,18.477310995995698,1.094267008,0.018662238056119166,0.015206203,1.0793557317187177,1.027975917,1.1844611652457075,347.9577478,0.6891637522718669,0.012389933,0.015329244019012875,0.388833894,0.2095964766200079,203.030303
4,0.293674915,22.24347320509104,1.094343988,0.015937982010439413,0.012953064,1.0793161749526199,1.027947663,1.1863002715954365,213.0595244,0.6795862432825627,0.01243426,0.015354015640189182,0.389386001,0.20989408342794688,237.3737374
5,0.562906235,26.11325470634179,1.094472802,0.013902721354122127,0.011269738,1.079275912275942,1.027918791,1.1881899777036402,139.4012269,0.6701823249402658,0.012481036,0.01538020593116269,0.389940935,0.21019321427244556,271.7171717
6,0.973368005,30.075818035910242,1.094669187,0.012324521181792034,0.009964417,1.0792349436884496,1.027889301,1.1901249913796346,96.08942086,0.6609778570791555,0.012530149,0.015407718792038168,0.390498696,0.2104938691552459,306.0606061
7,1.558051189,34.12257058684542,1.094948929,0.011065046413912956,0.008922704,1.0791932691903812,1.027859195,1.1921011166496067,69.06413113,0.651988799771881,0.012581513,0.015436477415194515,0.391059285,0.210796048074597,340.4040404
8,2.349219054,38.24651592619792,1.095327463,0.010036672359584426,0.008072134,1.0791508887816184,1.027828472,1.1941149369893738,51.36546923,0.6432242724507966,0.012635065,0.015466418877348384,0.391622701,0.2110997510313722,374.7474747
9,3.377878562,42.44183582428133,1.095819625,0.009181198882529716,0.007364577,1.0791078024620346,1.027797131,1.1961636112193568,39.30130923,0.6346885805756829,0.012690758,0.015497490596869067,0.392188944,0.21140497802646233,409.0909091
10,4.673462717,46.7036081634429,1.096439497,0.008458455929390802,0.006766816,1.0790640102318814,1.027765173,1.1982447357527404,30.79682645,0.6263826070181454,0.012748554,0.015529647907602154,0.392758015,0.21171172905809,443.4343434
11,6.26365898,51.02760941182941,1.097200327,0.007839823356711935,0.006255182,1.0790195120909032,1.027732598,1.2003562481387282,24.62801136,0.6183047925170125,0.012808429,0.015562852337525948,0.393329913,0.21202000412804148,477.7777778
12,8.174336963,55.41017173784033,1.098114491,0.00730435819184157,0.005812357,1.078974308039359,1.027699406,1.2024963572881389,20.04224178,0.6104518406700892,0.012870362,0.015597070348946876,0.393904638,0.21232980323452166,512.1212121
13,10.42954239,59.84807723747915,1.099193494,0.006836382198843393,0.005425377,1.0789283980769862,1.027665597,1.2046634918221142,16.55993068,0.6028192316892171,0.012934339,0.015632272395526847,0.394482191,0.2126411263793345,546.4646465
14,13.05153432,64.33847758315322,1.100447986,0.006423925356236136,0.005084343,1.0788817822040515,1.02763117,1.2068562608347206,13.86584188,0.5954016013289247,0.013000352,0.01566843219894902,0.39506257,0.21295397356066714,580.8080808
15,16.06084961,68.87883213628768,1.101887793,0.00605769071184675,0.004781568,1.0788344604202837,1.027596126,1.209073423671872,11.74705136,0.5881930218745256,0.013068395,0.01570552618636607,0.395645778,0.21326834478034132,615.1515152
16,19.47638371,73.46685915921545,1.103521955,0.005730347668037193,0.004510992,1.0787864327259584,1.027560465,1.2113138661069367,10.05624064,0.5811872119880498,0.013138467,0.01574353304325063,0.396231812,0.21358424003652646,649.4949495
17,23.3154803,78.10049711566155,1.105358771,0.005436038206253055,0.00426777,1.078737699120939,1.027524187,1.213576581442847,8.689278628,0.5743776932172938,0.013210567,0.01578243335560506,0.396820674,0.21390165933013552,683.8383838
18,27.5940245,82.77787332206327,1.10740584,0.005170024794764499,0.004047986,1.0786882596050802,1.027487292,1.2158606552037938,7.571138172,0.5677579070227515,0.013284698,0.015822209318041534,0.397412363,0.2142206026620996,718.1818182
19,32.3265365,87.49727834394224,1.109670111,0.004928434707508182,0.003848438,1.0786381141786698,1.02744978,1.2181652526323696,6.646822279,0.5613213018413878,0.013360864,0.015862844493637562,0.39800688,0.2145410700305612,752.5252525
20,37.52626315,92.25714500575612,1.11215792,0.004708071292608876,0.003666484,1.0785872628414164,1.02741165,1.2204896084395795,5.875383501,0.5550613972241957,0.013439069,0.015904323615642896,0.398604224,0.21486306143738662,786.8686869
21,43.20526629,97.05603072521733,1.114875039,0.00450627260749689,0.003499923,1.0785357055936156,1.027372903,1.2228330181782707,5.225900165,0.54897183091931,0.01351932,0.015946632419746525,0.399204395,0.21518657688070064,821.2121212
22,49.3745068,101.89260288359013,1.117826712,0.004320804092314512,0.003346908,1.0784834424349674,1.027333539,1.2251948310991014,4.674718072,0.5430463923969332,0.013601622,0.01598975750423435,0.399807394,0.21551161636238744,855.5555556
23,56.04392396,106.76562624157002,1.121017695,0.004149776104067481,0.003205878,1.078430473365776,1.027293558,1.2275744440054162,4.203527136,0.5372790464994129,0.013685983,0.01603368620929215,0.400413219,0.215838179880554,889.8989899
