p_sat,temperature,gamma_s,API,Rs,Bo_psat,Bg_psat,visc_o_psat,source,gamma_c,HGOR
3365.0,129.0,0.8312530741410489,38.78,1106.0,1.5330965401161434,,0.45,PVT_Data,0.8233692722859502,False
2415.0,137.0,0.8440983240223463,37.92,716.0,1.390346615808565,,0.56,PVT_Data,0.8362702306355644,False
5435.0,192.0,0.7472158355451255,51.74,8467.7186,,0.0006465503307104941,,PVT_Data,0.7377607138493532,True
4535.0,177.0,0.7846668117539097,47.68,2583.0,2.4143,,0.125,PVT_Data,0.7755169156609716,True
4575.0,176.0,0.7910087729971156,48.11,2592.8721580424876,2.429,,0.127,PVT_Data,0.781701739252832,True
5238.0,180.0,0.7705826193475077,47.23,4009.4260000000004,,0.0006899121051977977,,PVT_Data,0.7616817631187188,True
5055.0,182.0,0.7785009902465515,48.62,3940.8596000000002,,0.0007060501436812041,,PVT_Data,0.7692440224005292,True
5210.0,195.0,0.7588978037464799,52.72,12038.6284,,0.0006473832767951938,,PVT_Data,0.7491129727495477,True
5019.0,182.0,0.7919087178334229,50.99,4248.6336,,0.0006824075337791729,,PVT_Data,0.7820333162026978,True
4786.0,184.0,0.7477694216743954,52.67,4371.3931999999995,,0.0006910229212302971,,PVT_Data,0.7381372181284779,True
5326.0,182.0,0.7657758554324016,51.08,6617.7096,,0.000651130688,,PVT_Data,0.7562094851029426,True
5217.0,186.0,0.7699546076699886,51.01,5073.28,,0.0006757578624427296,,PVT_Data,0.7603492160258696,True
5179.0,203.0,0.7306740080097344,54.78,11050.2042,,0.0006680874660110502,,PVT_Data,0.7208849631680705,True
4756.025,157.0,0.7756981767598194,46.15,2643.5793,,,,PVT_Data,0.7669431171493796,True
5249.65,143.0,0.6988920570264767,44.34,1964.0,1.951,,0.223,PVT_Data,0.6913132574030367,False
4315.025,165.0,0.7689304979253112,45.91,1928.0,1.99082731299834,,0.332,PVT_Data,0.7602969558330233,False
2965.0,147.0,0.8508664711632453,41.15,1022.0,1.5425604341844183,,0.338,PVT_Data,0.842303472399422,False
3169.696,157.9,0.8476117647058824,42.3,1190.0,1.639,,0.285,PVT_Data,0.8388431300672352,False
4115.025,147.0,0.8273439181916039,45.53,1858.0,2.002058198701466,,0.215,PVT_Data,0.8181313999578386,False
3005.696,156.0,0.8662645631067961,42.3,1235.0,1.657,,0.294,PVT_Data,0.8573029632675978,False
1265.025,157.0,0.8246320474777449,43.65,338.0,1.2838,,0.566,PVT_Data,0.8158288774897952,False
5276.0,170.0,0.7407664153845946,51.27,8958.5513,,0.000627766094353244,,PVT_Data,0.7314780512456145,True
4925.0,174.0,0.7699011024829492,48.39,4210.3598999999995,,0.0006867424372489098,,PVT_Data,0.7607897007629403,True
4884.0,178.0,0.7660009209739167,49.47,5154.8474,,0.0006726080376660501,,PVT_Data,0.7567333518594219,True
3815.0,174.0,0.8312341367713004,48.3,1784.0,1.9897,,0.209,PVT_Data,0.8214151848732496,False
4374.0,174.0,0.7957376290630975,47.5,2615.0,2.446,,0.147,PVT_Data,0.7864936673807211,True
4161.0,169.0,0.8164079782411605,46.20006976120732,2206.0,2.14764883740115,,0.176,PVT_Data,0.8071834428194253,True
5490.0,173.0,0.7185544117455273,53.3,6348.9564,,0.0006402991477618342,,PVT_Data,0.7091878219579111,True
4633.0,175.0,0.7776271777003484,50.2,2870.0,2.4930187474406478,,0.123,PVT_Data,0.7680801149055965,True
4618.0,205.0,0.7799001584786055,47.6,3786.0,3.196,,0.097,PVT_Data,0.770821104614231,True
4856.0,165.0,0.8185907319156698,49.45,3878.0,3.048,,0.11,PVT_Data,0.8086909016051834,True
5098.0,173.0,0.8107138200170775,50.63,9499.6735,,0.000618436838999999,,PVT_Data,0.8006752896949005,True
4695.0,184.0,0.7410526384642765,54.68,14937.022400000002,,0.0006748731238527157,,PVT_Data,0.7311426717638182,True
3658.0,165.0,0.8118608677002844,46.8,1925.0,2.0635741274033896,,0.174358969801845,PVT_Data,0.8025685918655227,False
3515.0,185.0,0.8459453166875485,45.82,1573.0,1.884071905820046,,0.2,PVT_Data,0.8364656731550294,False
3515.0,190.0,0.8405067484662575,45.31,1303.0,1.7521,,0.285,PVT_Data,0.8311928843333145,False
4815.0,171.0,0.8224879551850593,47.73,3198.0,2.744,,0.136,PVT_Data,0.8128869741361626,True
7295.0,181.0,0.6853087438775262,51.15,15090.0604,,0.000558113576112739,,PVT_Data,0.6767358678691645,True
4735.0,169.0,0.8086412600203908,47.84,3019.0898226608274,2.6800771815122393,,0.138,PVT_Data,0.799180158571783,True
2236.696,155.0,0.8641896139865074,40.33,897.0,,,0.39649,PVT_Data,0.8556658405816312,False
3314.696,165.0,0.7593733888935408,42.16,1230.0,,,0.2782,PVT_Data,0.7515435899999426,False
4498.0,148.0,0.8866579094727018,44.8,2143.0,2.0310990912762636,,0.188,PVT_Data,0.8769432241406959,True
3365.0,154.0,0.8327439700374533,44.91,1335.0,1.6715649852853085,,0.392,PVT_Data,0.8235975912540994,False
3955.0,159.0,0.8311149840595111,46.47,1882.0,1.973,,0.173,PVT_Data,0.8216694087264752,False
4349.0,148.0,0.8882414025396969,44.56,2038.0,2.002,,0.188,PVT_Data,0.8785615035351321,True
